sequence_index,sequence,AUC,Precision,Norm_Precision,Success50,Success75,FPS,frames,total_time_sec
1,Basketball,76.59754902460965,100.0,99.31034445762634,100.0,58.62069129943848,53.1771007228565,725,13.633688
2,BlurBody,72.02537493400047,99.70059990882874,99.70059990882874,100.0,36.22754514217377,46.823475776701926,334,7.133174
3,BlurFace,86.2172357478465,100.0,100.0,100.0,99.79715943336487,46.32847319770962,493,10.641404000000001
4,Bolt,1.1711890186831506,1.7142856493592262,1.1428571306169033,1.4285714365541935,1.1428571306169033,45.25012068853618,350,7.734786
5,Bolt2,65.85523787054495,99.65870380401611,89.07849788665771,91.4675772190094,17.406143248081207,46.99681528407008,293,6.234465
6,Boy,85.49347845533816,100.0,100.0,100.0,95.51495313644409,49.18428034451546,602,12.239683
7,ClifBar,51.10031662505373,97.45762944221497,59.32203531265259,42.584747076034546,10.593220591545105,53.98991166472631,472,8.742374
8,Couple,75.68264143806638,100.0,94.9999988079071,99.28571581840515,55.000001192092896,37.44406792353922,140,3.7389099999999993
9,Crossing,74.46865276241756,100.0,99.16666746139526,100.0,50.0,33.988374276578696,120,3.5306189999999997
10,Crowds,67.31654842257451,99.71181750297546,77.23342776298523,93.37176084518433,26.51296854019165,49.425637063701245,347,7.0206479999999996
11,Dancer,81.00932934142232,100.0,100.0,100.0,76.88888907432556,42.83062865844953,225,5.25325
12,Dancer2,69.02012554375362,100.0,99.33333396911621,100.0,21.33333384990692,36.99802011261704,150,4.054271
13,David,81.96341608435364,100.0,94.69214677810669,96.81528806686401,83.86411666870117,52.95345357702265,471,8.894604000000001
14,David2,81.70679852292069,100.0,100.0,100.0,86.77839636802673,56.361934723643365,537,9.527707000000001
15,David3,79.52888042373363,100.0,98.8095223903656,100.0,74.60317611694336,43.92529701431737,252,5.737013000000001
16,DragonBaby,73.9316104220501,97.3451316356659,91.15044474601746,92.92035102844238,57.52212405204773,31.10042381896141,113,3.6333909999999996
17,Dudek,84.60955097948936,96.24454379081726,100.0,100.0,94.84716057777405,61.27097514175001,1145,18.687478
18,FaceOcc1,77.57168040393509,83.07175040245056,100.0,100.0,68.72197389602661,64.82623154214774,892,13.759861999999998
19,FaceOcc2,80.17870535169864,100.0,99.75369572639465,100.0,74.5073914527893,62.1282110510632,812,13.069747
20,FleetFace,72.9795018128591,62.80056834220886,87.41160035133362,99.43422675132751,52.47524976730347,56.39203294634733,707,12.537232
21,Freeman1,72.72302800993538,100.0,82.20859169960022,96.93251252174377,44.1717803478241,50.65235887724541,326,6.436027999999999
22,Freeman3,79.04242038375871,100.0,98.9130437374115,100.0,71.52174115180969,53.69129396835504,460,8.567497000000001
23,Freeman4,59.499101938960784,98.58657121658325,61.48409843444824,84.09894108772278,10.600706934928894,47.12322690533111,283,6.0055309999999995
24,Girl,75.87689302878617,100.0,97.00000286102295,99.59999918937683,56.40000104904175,55.7982157962517,500,8.96086
25,Girl2,63.33514280095298,81.40000104904175,81.00000023841858,85.39999723434448,40.66666662693024,60.07427102275085,1500,24.969092
26,Gym,46.64101519679899,99.34810996055603,87.35332489013672,33.246415853500366,1.1734028346836567,59.92647716617613,767,12.799017
27,Human2,79.31364476144547,91.84397459030151,97.42907881736755,99.82269406318665,69.06028389930725,60.12983246218817,1128,18.759407
28,Human3,1.6911465425890122,2.1790342405438423,2.120141312479973,2.120141312479973,1.295641902834177,57.52135404047877,1698,29.519472
29,Human4_2,46.78267007254096,96.25187516212463,92.50375032424927,44.67765986919403,3.5982009023427963,55.64964916525526,667,11.9857
30,Human5,79.15535619467056,100.0,99.1584837436676,99.57924485206604,71.80925607681274,56.365391933946405,713,12.649605999999999
31,Human6,73.22427389203997,98.98989796638489,95.83333134651184,97.85353541374207,44.31818127632141,56.43983908659817,792,14.032641
32,Human7,83.43368578536479,100.0,100.0,100.0,93.19999814033508,45.08310981127488,250,5.545314000000001
33,Human8,81.1167351784674,100.0,99.21875,100.0,78.125,34.902453097101905,128,3.667363999999999
34,Human9,78.75322295478078,100.0,99.01639223098755,100.0,68.5245931148529,48.046303404056964,305,6.3480430000000005
35,Ironman,55.29795319194291,78.3132553100586,63.25300931930542,66.86747074127197,19.879518449306488,37.695129062672024,166,4.403751999999999
36,Jogging_1,77.8703528939548,97.71987199783325,96.74267172813416,97.06840515136719,79.47883009910583,48.782782188532266,307,6.293203999999999
37,Jogging_2,77.3688400585684,98.69706630706787,98.37133288383484,98.69706630706787,74.59283471107483,47.91803175826086,307,6.406774
38,Jump,37.99040396189529,79.50819730758667,43.44262182712555,23.770491778850555,2.459016442298889,31.8574624016662,122,3.8295579999999996
39,Jumping,63.47557863920852,100.0,96.4856207370758,97.12460041046143,13.41852992773056,48.566331212448375,313,6.444794
40,Man,76.42879489060415,100.0,100.0,100.0,52.98507213592529,36.31706970031642,134,3.689725
41,Mhyang,78.45817078531557,100.0,98.85905981063843,100.0,64.29530382156372,63.96197104523133,1490,23.295092
42,Singer1,85.81307060380522,100.0,100.0,100.0,97.72079586982727,51.553341846244145,351,6.808482
43,Singer2,3.9306846679322582,3.5519126802682877,3.2786883413791656,3.82513664662838,2.7322404086589813,51.34699584299773,366,7.127972999999999
44,Skater,55.19791860626144,94.9999988079071,86.87499761581421,51.249998807907104,15.000000596046448,40.43914893789103,160,3.9565620000000004
45,Skater2,63.02104153232769,90.11494517326355,77.93103456497192,85.28735637664795,17.241379618644714,54.845201624830075,435,7.931414
46,Skating1,55.200802329742274,100.0,88.99999856948853,58.74999761581421,9.49999988079071,50.126035650889705,400,7.979885
47,Skating2_1,45.02595604825041,57.9281210899353,39.32346701622009,42.28329956531525,7.399576902389526,52.89174134037513,473,8.942795
48,Skating2_2,52.27132529970843,52.85412073135376,50.317126512527466,58.98520350456238,15.644820034503937,53.495083767872494,473,8.841934000000002
49,Skiing,47.784997314286535,100.0,82.71604776382446,51.851850748062134,18.518517911434174,26.780808013346768,81,3.0245539999999993
50,Soccer,18.25151734906555,23.72449040412903,21.683673560619354,22.193877398967743,15.306122601032257,49.287555923144616,392,7.953325999999999
51,Subway,70.37974542181111,100.0,88.57142925262451,100.0,28.00000011920929,39.360816329835544,175,4.446046
52,Surfer,70.5916810213262,100.0,96.54255509376526,99.7340440750122,25.531914830207825,51.56403595000702,376,7.291904000000001
53,Walking,74.7561561180383,100.0,99.51456189155579,99.75728392601013,46.35922312736511,51.61918223939297,412,7.981529000000001
54,Walking2,80.08443769799783,100.0,100.0,100.0,74.40000176429749,55.91219459501288,500,8.942593
55,Woman,57.96120080125004,100.0,94.807368516922,77.05192565917969,11.89279705286026,57.146357852981666,597,10.44686
